# Annotated with Bakta
# Software: v1.11.3
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_985	cds	58455	59783	-	MDNEJI_03242	775.0	1.1e-282	0.848	0.845	1.0	UniRef:UniRef50_A0A6I1L4Y2
contig_985	cds	59773	60960	-	MDNEJI_03243	484.0	5.9e-169	0.980	0.913	0.633	UniRef:UniRef50_A0A0R0CJH4
contig_985	cds	60960	62948	-	MDNEJI_03244	630.0	4.4e-218	0.995	0.947	0.510	UniRef:UniRef50_C3K544
contig_985	cds	62963	63757	-	MDNEJI_03245	377.0	2.0e-131	0.981	0.970	0.726	UniRef:UniRef50_Q9I1N5
contig_985	cds	63763	64674	-	MDNEJI_03246	412.0	1.0e-143	1.0	0.962	0.683	UniRef:UniRef50_Q9I1N6
contig_985	cds	64674	66140	-	MDNEJI_03247	597.0	8.8e-211	0.980	0.941	0.636	UniRef:UniRef50_A0A2C9EJH3
contig_985	cds	66140	67576	-	MDNEJI_03248	928.0	0.0	0.998	0.968	0.996	UniRef:UniRef50_Q9I1N8
contig_985	cds	68104	68700	-	MDNEJI_03249	291.0	2.8e-99	0.960	0.815	0.705	UniRef:UniRef50_A0A3B8T2Q2
contig_985	cds	68820	69539	-	MDNEJI_03250	282.0	2.4e-94	0.950	0.860	0.612	UniRef:UniRef50_A0A0S2FGR2
contig_985	cds	69755	70495	-	MDNEJI_03251	288.0	2.3e-96	0.992	0.894	0.619	UniRef:UniRef50_F8H0W7
contig_985	cds	70545	70907	-	MDNEJI_03252	103.0	1.1e-27	1.175	0.972	0.702	UniRef:UniRef50_A0A509JP23
contig_985	cds	71383	72351	+	MDNEJI_03253	348.0	2.3e-117	0.963	0.833	0.513	UniRef:UniRef50_Q0HQ97
contig_985	cds	72693	78533	-	MDNEJI_03254	2164.0	0.0	1.006	0.990	0.579	UniRef:UniRef50_A0A0Q5NQG6
contig_985	cds	78547	80682	-	MDNEJI_03255	977.0	0.0	0.999	0.997	0.697	UniRef:UniRef50_Q4KCB2
contig_985	cds	80696	81400	-	MDNEJI_03256	-	-	-	-	-	-
contig_988	cds	197	337	+	MDNEJI_03257	-	-	-	-	-	-
contig_990	cds	321	482	-	MDNEJI_03258	-	-	-	-	-	-
contig_993	cds	53	322	+	MDNEJI_03259	-	-	-	-	-	-
contig_996	cds	33	578	+	MDNEJI_03260	-	-	-	-	-	-
contig_996	cds	601	1248	+	MDNEJI_03261	321.0	1.0e-111	0.995	1.289	0.776	UniRef:UniRef50_UPI000FD58347
contig_996	cds	1428	2636	+	MDNEJI_03262	387.0	9.0e-131	0.988	0.957	0.526	UniRef:UniRef50_Q9HWG9
contig_996	cds	2741	3985	-	MDNEJI_03263	491.0	7.1e-171	0.988	0.895	0.655	UniRef:UniRef50_A0A0C5ELN4
contig_996	cds	3978	5483	-	MDNEJI_03264	570.0	5.6e-200	1.006	0.996	0.595	UniRef:UniRef50_A0A2S0PE40
contig_996	cds	5485	5766	-	MDNEJI_03265	171.0	2.0e-55	1.0	0.886	0.946	UniRef:UniRef50_P42513
contig_996	cds	5766	7928	-	MDNEJI_03266	889.0	0.0	1.025	0.981	0.600	UniRef:UniRef50_P42512
contig_996	cds	8020	9744	-	MDNEJI_03267	533.0	4.8e-183	0.976	0.933	0.580	UniRef:UniRef50_A0A6J5DYU8
contig_996	cds	9741	11453	-	MDNEJI_03268	1015.0	0.0	1.084	1.0	0.896	UniRef:UniRef50_A0AAE8NBH6
contig_996	cds	11450	12499	-	MDNEJI_03269	369.0	1.1e-125	0.991	0.975	0.575	UniRef:UniRef50_A0A0C5DY33
contig_996	cds	12496	17925	-	MDNEJI_03270	2757.0	0.0	0.934	0.881	0.866	UniRef:UniRef50_Q9HWG4
contig_996	cds	18172	22251	-	MDNEJI_03271	1328.0	0.0	0.893	0.842	0.609	UniRef:UniRef50_A0A0C5EAA1
contig_996	cds	22445	23335	-	MDNEJI_03272	367.0	1.2e-126	0.899	0.899	0.699	UniRef:UniRef50_Q2RW53
contig_996	cds	23565	25208	+	MDNEJI_03273	520.0	1.2e-177	0.976	0.837	0.532	UniRef:UniRef50_O07899
contig_996	cds	25205	25960	+	MDNEJI_03274	262.0	3.0e-86	0.960	0.913	0.564	UniRef:UniRef50_A0A0C5EER3
contig_996	cds	25960	26265	+	MDNEJI_03275	-	-	-	-	-	-
contig_996	cds	26262	27692	+	MDNEJI_03276	954.0	0.0	1.0	0.824	0.994	UniRef:UniRef50_Q51508
contig_996	cds	27781	28278	-	MDNEJI_03277	187.0	1.5e-59	1.024	1.006	0.562	UniRef:UniRef50_A0A7S9DZ01
contig_996	cds	28295	29683	-	MDNEJI_03278	676.0	1.8e-242	0.991	0.896	0.779	UniRef:UniRef50_Q88QK6
contig_996	cds	29897	32734	+	MDNEJI_03279	1765.0	0.0	1.0	0.963	0.932	UniRef:UniRef50_A0A349E9N0
contig_996	cds	32806	33270	-	MDNEJI_03280	207.0	1.7e-67	1.0	0.811	0.662	UniRef:UniRef50_Q8EHV0
contig_996	cds	33401	34849	-	MDNEJI_03281	617.0	1.6e-217	0.996	0.814	0.623	UniRef:UniRef50_O52762
contig_996	cds	35130	35519	-	MDNEJI_03282	178.0	5.4e-57	0.930	0.828	0.767	UniRef:UniRef50_A5EXB2
contig_996	cds	35563	36564	-	MDNEJI_03283	417.0	1.3e-144	1.003	0.893	0.635	UniRef:UniRef50_P0A0Y1
contig_996	cds	36587	37207	-	MDNEJI_03284	290.0	7.8e-99	1.0	0.924	0.714	UniRef:UniRef50_C4K794
contig_996	cds	37224	37613	-	MDNEJI_03285	187.0	8.2e-61	0.907	0.880	0.761	UniRef:UniRef50_A1SXW6
contig_996	cds	37632	37988	-	MDNEJI_03286	162.0	7.2e-51	0.966	0.820	0.711	UniRef:UniRef50_Q8DML1
contig_996	ncRNA-region	37956	38051	-	-	50.7	3.2e-06	-	-	-	RFAM:RF00140
contig_996	cds	38119	38235	-	MDNEJI_03287	67.0	1.2e-15	1.0	0.826	0.789	UniRef:UniRef50_P20278
contig_996	cds	38264	39592	-	MDNEJI_03288	593.0	2.6e-210	0.971	0.894	0.683	UniRef:UniRef50_A0A5C9BIP9
contig_996	cds	39593	40027	-	MDNEJI_03289	202.0	6.9e-66	0.993	0.812	0.748	UniRef:UniRef50_Q9KP03
contig_996	cds	40031	40207	-	MDNEJI_03290	63.9	7.6e-14	0.931	0.818	0.593	UniRef:UniRef50_Q605D0
contig_996	cds	40210	40710	-	MDNEJI_03291	205.0	2.8e-66	1.024	0.914	0.659	UniRef:UniRef50_A0A4R6XNT6
contig_996	cds	40714	41064	-	MDNEJI_03292	141.0	8.0e-43	1.0	0.899	0.672	UniRef:UniRef50_Q83ER0
contig_996	cds	41075	41608	-	MDNEJI_03293	226.0	4.9e-74	1.006	0.868	0.635	UniRef:UniRef50_Q0VSI8
contig_996	cds	41620	42012	-	MDNEJI_03294	166.0	5.9e-52	1.008	0.903	0.656	UniRef:UniRef50_Q2S926
contig_996	cds	42200	42505	-	MDNEJI_03295	127.0	1.1e-37	1.0	0.828	0.683	UniRef:UniRef50_B4SKX6
contig_996	cds	42519	43058	-	MDNEJI_03296	236.0	3.0e-78	0.983	0.903	0.659	UniRef:UniRef50_Q5SHQ0
contig_996	cds	43078	43392	-	MDNEJI_03297	132.0	2.0e-39	1.019	0.930	0.642	UniRef:UniRef50_Q88QM4
contig_996	cds	43405	43773	-	MDNEJI_03298	149.0	1.2e-45	0.943	0.827	0.617	UniRef:UniRef50_Q5SHP8
contig_996	cds	43797	44063	-	MDNEJI_03299	127.0	6.3e-38	0.932	0.837	0.695	UniRef:UniRef50_Q9HWE4
contig_996	cds	44066	44257	-	MDNEJI_03300	80.1	4.6e-20	0.984	0.827	0.694	UniRef:UniRef50_Q5LW50
contig_996	cds	44257	44670	-	MDNEJI_03301	236.0	1.4e-79	1.190	1.0	0.791	UniRef:UniRef50_Q83ER9
contig_996	cds	44682	45368	-	MDNEJI_03302	291.0	1.9e-98	0.982	0.957	0.665	UniRef:UniRef50_A0A496Z022
contig_996	cds	45381	45713	-	MDNEJI_03303	141.0	7.6e-43	1.0	0.815	0.682	UniRef:UniRef50_P44360
contig_996	cds	45726	46001	-	MDNEJI_03304	133.0	9.5e-41	0.835	1.0	0.829	UniRef:UniRef50_A0A061NAJ4
contig_996	cds	46018	46839	-	MDNEJI_03305	300.0	1.5e-100	0.934	0.917	0.569	UniRef:UniRef50_P44343
contig_996	cds	46851	47150	-	MDNEJI_03306	108.0	2.5e-30	0.990	0.925	0.582	UniRef:UniRef50_Q2S914
contig_996	cds	47147	47749	-	MDNEJI_03307	334.0	4.1e-116	1.0	0.851	0.875	UniRef:UniRef50_Q9HWD6
contig_996	cds	47763	48398	-	MDNEJI_03308	283.0	3.4e-95	1.100	0.899	0.634	UniRef:UniRef50_P60438
contig_996	cds	48481	48792	-	MDNEJI_03309	162.0	3.3e-51	0.961	0.811	0.808	UniRef:UniRef50_Q2LQA2
contig_996	cds	48949	50142	-	MDNEJI_03310	766.0	1.1e-279	1.166	1.0	0.857	UniRef:UniRef50_P09591
contig_996	cds	50173	52293	-	MDNEJI_03311	1243.0	0.0	0.993	0.895	0.899	UniRef:UniRef50_Q88QN8
contig_996	cds	52324	52794	-	MDNEJI_03312	207.0	1.3e-67	1.0	0.872	0.699	UniRef:UniRef50_P02359
contig_996	cds	52894	53265	-	MDNEJI_03313	172.0	6.0e-55	1.0	1.088	0.740	UniRef:UniRef50_P35643
contig_996	ncRNA-region	53265	53386	-	-	103.9	7.2e-16	-	-	-	RFAM:RF01773
contig_996	cds	53417	57616	-	MDNEJI_03314	2088.0	0.0	1.007	0.978	0.754	UniRef:UniRef50_A0A0A8E9Y1
contig_996	cds	57682	61755	-	MDNEJI_03315	1921.0	0.0	1.002	0.986	0.702	UniRef:UniRef50_B8F741
contig_996	ncRNA	61906	61971	-	MDNEJI_03316	79.3	1.1e-15	-	-	-	RFAM:RF00630
contig_996	cds	61977	62345	-	MDNEJI_03317	121.0	1.9e-34	1.008	0.842	0.691	UniRef:UniRef50_P0A299
contig_996	cds	62424	62924	-	MDNEJI_03318	201.0	7.8e-65	1.0	0.976	0.675	UniRef:UniRef50_P44350
contig_996	ncRNA	62924	63116	+	MDNEJI_03319	208.1	4.2e-34	-	-	-	RFAM:RF01674
contig_996	cds	63123	63818	-	MDNEJI_03320	311.0	2.0e-106	1.052	0.988	0.687	UniRef:UniRef50_P0A7L0
contig_996	cds	63818	64249	-	MDNEJI_03321	209.0	9.3e-69	1.0	0.851	0.748	UniRef:UniRef50_P10055
contig_996	cds	64366	64845	-	MDNEJI_03322	241.0	7.2e-81	0.987	0.849	0.720	UniRef:UniRef50_A0A4D6YM47
contig_996	cds	64873	65250	+	MDNEJI_03323	-	-	-	-	-	-
contig_996	tRNA	65323	65398	-	MDNEJI_03324	86.9	-	-	-	-	-
contig_996	cds	65454	66647	-	MDNEJI_03325	766.0	1.1e-279	1.166	1.0	0.857	UniRef:UniRef50_P09591
contig_996	tRNA	66732	66807	-	MDNEJI_03326	81.9	-	-	-	-	-
contig_996	tRNA	66827	66900	-	MDNEJI_03327	86.0	-	-	-	-	-
contig_996	tRNA	66927	67011	-	MDNEJI_03328	76.6	-	-	-	-	-
contig_996	cds	67159	67863	-	MDNEJI_03329	397.0	5.4e-140	1.004	0.948	0.898	UniRef:UniRef50_A0A7U7EPS6
contig_996	cds	67872	68618	-	MDNEJI_03330	483.0	2.3e-173	1.0	0.915	1.0	UniRef:UniRef50_Q9HWC1
contig_996	cds	68615	69553	-	MDNEJI_03331	401.0	2.5e-138	1.013	0.829	0.633	UniRef:UniRef50_A0A5E6Y1V4
contig_996	rRNA	69714	69819	-	MDNEJI_03332	81.8	4.5e-13	-	-	-	RFAM:RF00001
contig_997	cds	41	280	+	MDNEJI_03333	-	-	-	-	-	-
contig_998	cds	1	222	+	MDNEJI_03334	102.0	1.4e-28	1.0	0.830	0.712	UniRef:UniRef50_P30748
contig_1000	cds	57	485	+	MDNEJI_03335	-	-	-	-	-	-
contig_1001	cds	66	284	-	MDNEJI_03336	-	-	-	-	-	-
contig_1007	cds	218	820	-	MDNEJI_03337	300.0	6.4e-103	1.055	1.0	0.839	UniRef:UniRef50_Q9I7A2
contig_1007	cds	817	2103	-	MDNEJI_03338	809.0	1.2e-296	1.0	0.962	0.984	UniRef:UniRef50_A6UX89
contig_1007	cds	2084	3070	-	MDNEJI_03339	545.0	1.6e-195	0.994	0.926	0.801	UniRef:UniRef50_Q9I7A4
contig_1007	cds	3181	4005	-	MDNEJI_03340	369.0	6.5e-127	0.993	0.817	0.691	UniRef:UniRef50_P43904
contig_1007	cds	4063	4980	-	MDNEJI_03341	441.0	6.8e-155	0.970	0.876	0.689	UniRef:UniRef50_A0KEX7
contig_1007	cds	5171	6148	+	MDNEJI_03342	449.0	2.4e-157	1.0	0.869	0.698	UniRef:UniRef50_Q7VWH1
contig_1007	cds	6158	6715	-	MDNEJI_03343	339.0	9.8e-119	0.870	0.805	1.0	UniRef:UniRef50_A0A2Z3I8K8
contig_1007	cds	6756	7844	-	MDNEJI_03344	613.0	1.4e-221	1.0	1.0	0.895	UniRef:UniRef50_A0A2R3IYL8
contig_1007	cds	7979	9004	-	MDNEJI_03345	530.0	5.2e-189	1.0	0.909	0.751	UniRef:UniRef50_Q9I7A7
contig_1007	cds	9143	9649	+	MDNEJI_03346	220.0	4.2e-72	0.988	0.822	0.669	UniRef:UniRef50_A0A2H6JDN9
contig_1007	cds	9704	10648	+	MDNEJI_03347	573.0	2.7e-206	1.239	1.0	0.807	UniRef:UniRef50_O85732
contig_1007	cds	10645	11949	+	MDNEJI_03348	671.0	2.2e-240	1.007	0.826	0.767	UniRef:UniRef50_Q88RR3
contig_1007	cds	11976	13349	+	MDNEJI_03349	570.0	4.2e-200	0.998	0.852	0.623	UniRef:UniRef50_Q8EKR1
contig_1007	cds	13498	13815	+	MDNEJI_03350	102.0	8.5e-28	0.990	0.881	0.538	UniRef:UniRef50_Q9I7B1
contig_1007	cds	14130	14402	+	MDNEJI_03351	165.0	6.0e-53	1.0	0.891	0.967	UniRef:UniRef50_Q9I7B2
contig_1007	cds	14464	15117	-	MDNEJI_03352	243.0	1.2e-79	0.899	0.837	0.646	UniRef:UniRef50_A0A078BM00
contig_1007	cds	15264	15530	-	MDNEJI_03353	141.0	9.5e-44	0.989	0.906	0.793	UniRef:UniRef50_Q9I7B4
contig_1007	cds	15615	16502	-	MDNEJI_03354	-	-	-	-	-	-
contig_1007	cds	16647	17198	-	MDNEJI_03355	261.0	6.6e-88	0.995	0.839	0.676	UniRef:UniRef50_Q21NB0
contig_1007	cds	17303	18250	+	MDNEJI_03356	503.0	3.9e-180	0.854	0.993	0.903	UniRef:UniRef50_A0A9C9KU72
contig_1007	cds	18247	20304	+	MDNEJI_03357	1016.0	0.0	0.993	0.887	0.782	UniRef:UniRef50_Q9I7B8
contig_1007	cds	20361	22067	-	MDNEJI_03358	582.0	1.1e-201	1.016	0.907	0.534	UniRef:UniRef50_W9GTM3
contig_1007	cds	22399	22935	+	MDNEJI_03359	214.0	2.0e-69	0.972	0.836	0.578	UniRef:UniRef50_A0A1G0D4K9
contig_1007	cds	22947	23720	+	MDNEJI_03360	363.0	5.1e-126	0.918	0.843	0.725	UniRef:UniRef50_Q9I7C1
contig_1007	cds	24079	26499	-	MDNEJI_03361	1071.0	0.0	1.014	1.001	0.670	UniRef:UniRef50_A0A0S2JCA5
contig_1007	cds	26496	27605	-	MDNEJI_03362	406.0	2.6e-139	1.008	0.942	0.559	UniRef:UniRef50_P13456
contig_1007	cds	27615	28718	-	MDNEJI_03363	617.0	2.8e-222	1.0	0.897	0.875	UniRef:UniRef50_P0A120
contig_1007	cds	28747	30291	-	MDNEJI_03364	637.0	1.9e-225	1.089	0.993	0.638	UniRef:UniRef50_A0A1E2VCN0
contig_1007	cds	30817	30951	+	MDNEJI_03365	65.1	8.8e-15	1.0	1.0	0.795	UniRef:UniRef50_P66248
contig_1007	cds	30966	31373	+	MDNEJI_03366	189.0	2.5e-61	1.059	1.0	0.692	UniRef:UniRef50_Q9HT05
contig_1007	cds	31614	33350	+	MDNEJI_03367	863.0	0.0	1.024	1.0	0.747	UniRef:UniRef50_A4Y1A0
contig_1007	cds	33421	34788	+	MDNEJI_03368	535.0	1.6e-187	1.033	0.985	0.619	UniRef:UniRef50_Q5NFF3
contig_1007	cds	35283	35507	+	MDNEJI_03369	144.0	3.4e-45	1.0	1.0	0.973	UniRef:UniRef50_UPI0018DF3099
contig_1007	cds	35981	37873	+	MDNEJI_03370	876.0	0.0	0.987	0.894	0.712	UniRef:UniRef50_P0A6U3
contig_1007	cds	37873	38517	+	MDNEJI_03371	283.0	8.3e-96	0.986	0.991	0.659	UniRef:UniRef50_G9EJL7
contig_1007	cds	38536	39324	+	MDNEJI_03372	338.0	1.2e-115	0.985	0.840	0.643	UniRef:UniRef50_A0A1V6FPL0
contig_1007	cds	39334	40206	+	MDNEJI_03373	333.0	6.4e-113	1.038	0.920	0.611	UniRef:UniRef50_Q83AH2
contig_1007	cds	40370	40750	+	MDNEJI_03374	152.0	8.0e-47	1.032	0.884	0.662	UniRef:UniRef50_Q9HT13
contig_1007	cds	40767	41636	+	MDNEJI_03375	328.0	4.3e-111	1.055	0.959	0.554	UniRef:UniRef50_A0KQY4
contig_1007	cds	41686	41943	+	MDNEJI_03376	128.0	1.3e-38	0.918	0.821	0.897	UniRef:UniRef50_P43721
contig_1007	cds	42001	42471	+	MDNEJI_03377	187.0	5.3e-60	1.013	1.0	0.924	UniRef:UniRef50_Q88BX0
contig_1007	cds	42483	43019	+	MDNEJI_03378	229.0	6.7e-76	1.0	0.989	0.697	UniRef:UniRef50_C1DND6
contig_1007	cds	43038	44582	+	MDNEJI_03379	781.0	9.5e-283	0.994	0.973	0.791	UniRef:UniRef50_O51874
contig_1007	cds	44633	45493	+	MDNEJI_03380	395.0	2.9e-137	1.112	0.997	0.629	UniRef:UniRef50_Q6LKZ7
contig_1007	cds	45524	46900	+	MDNEJI_03381	687.0	9.4e-247	1.033	0.920	0.746	UniRef:UniRef50_Q7VU44
contig_1007	cds	46942	47367	+	MDNEJI_03382	150.0	8.7e-46	0.950	0.899	0.582	UniRef:UniRef50_Q9HT21
contig_1007	cds	47488	48852	+	MDNEJI_03383	437.0	1.5e-147	0.998	0.807	0.528	UniRef:UniRef50_Q1QSD2
contig_1007	cds	48866	49375	+	MDNEJI_03384	207.0	3.3e-67	0.923	0.857	0.596	UniRef:UniRef50_A0A165JD94
contig_1007	cds	49443	50216	+	MDNEJI_03385	281.0	1.1e-93	1.019	0.981	0.565	UniRef:UniRef50_A0A2E0A5J0
contig_1007	cds	50232	52067	+	MDNEJI_03386	744.0	7.7e-265	1.041	1.005	0.631	UniRef:UniRef50_Q5ZRP4
contig_1007	cds	52333	53244	+	MDNEJI_03387	327.0	3.1e-110	0.924	0.903	0.589	UniRef:UniRef50_A0AA40TSB7
contig_1007	cds	53225	53806	+	MDNEJI_03388	-	-	-	-	-	-
contig_1009	ncRNA	108	255	-	MDNEJI_03389	131.9	1.2e-20	-	-	-	RFAM:RF01408
contig_1018	cds	478	1965	+	MDNEJI_03390	657.0	3.0e-233	1.083	0.940	0.675	UniRef:UniRef50_N8YCY0
contig_1018	cds	1980	2831	+	MDNEJI_03391	489.0	6.8e-175	0.943	0.890	0.944	UniRef:UniRef50_A8QVY6
contig_1018	cds	2831	3190	+	MDNEJI_03392	103.0	1.3e-27	0.882	0.827	0.552	UniRef:UniRef50_C3KFN9
contig_1018	cds	3413	4198	+	MDNEJI_03393	-	-	-	-	-	-
contig_1018	cds	4709	5416	-	MDNEJI_03394	445.0	2.3e-159	0.979	0.975	0.996	UniRef:UniRef50_G8EFC1
contig_1018	cds	5507	6127	-	MDNEJI_03395	395.0	2.2e-140	1.0	1.0	1.0	UniRef:UniRef50_A0A2W5EYP4
contig_1018	cds	6076	7302	-	MDNEJI_03396	491.0	1.9e-171	0.985	0.946	0.577	UniRef:UniRef50_A0A6J4E2Q0
contig_1018	cds	7515	8207	+	MDNEJI_03397	238.0	2.5e-77	0.987	0.934	0.559	UniRef:UniRef50_A0A158SPM0
contig_1018	cds	8858	9292	-	MDNEJI_03398	204.0	2.5e-67	0.812	1.0	0.889	UniRef:UniRef50_Q21Y02
contig_1018	cds	9364	9714	+	MDNEJI_03399	194.0	5.1e-64	1.0	1.0	0.802	UniRef:UniRef50_A0A521WWN0
contig_1018	cds	9730	10005	+	MDNEJI_03400	94.0	9.6e-25	0.967	0.871	0.625	UniRef:UniRef50_A0A3Q9NJI4
contig_1018	cds	10077	11762	+	MDNEJI_03401	932.0	0.0	0.996	0.814	0.886	UniRef:UniRef50_P08332
contig_1018	cds	11780	12145	+	MDNEJI_03402	198.0	4.9e-65	0.942	0.844	0.921	UniRef:UniRef50_P06689
contig_1018	cds	12142	12378	+	MDNEJI_03403	104.0	1.9e-29	0.974	0.905	0.658	UniRef:UniRef50_A0A286T802
contig_1018	cds	12375	13364	+	MDNEJI_03404	658.0	4.7e-240	0.985	0.905	0.997	UniRef:UniRef50_A0AAP5QAU3
contig_1018	cds	13945	15150	+	MDNEJI_03405	510.0	1.4e-179	1.017	1.002	0.699	UniRef:UniRef50_A0A1A5D9Y2
contig_1018	cds	15397	16647	+	MDNEJI_03406	813.0	1.1e-297	1.0	0.868	0.998	UniRef:UniRef50_B3G2C5
contig_1018	cds	16797	17408	-	MDNEJI_03407	349.0	8.5e-123	0.877	0.973	1.0	UniRef:UniRef50_A0A2T5PQF3
contig_1018	cds	17807	18109	-	MDNEJI_03408	-	-	-	-	-	-
contig_1018	cds	18200	19603	-	MDNEJI_03409	920.0	0.0	0.976	0.896	1.0	UniRef:UniRef50_A0AAP9NNN6
contig_1018	cds	19600	20187	-	MDNEJI_03410	305.0	1.0e-104	1.0	0.890	0.810	UniRef:UniRef50_A0A5R9Q8E9
contig_1018	cds	20289	20516	+	MDNEJI_03411	96.7	2.7e-26	0.907	0.810	0.735	UniRef:UniRef50_N9FFN5
contig_1018	cds	20839	21108	-	MDNEJI_03412	-	-	-	-	-	-
contig_1018	cds	21265	21486	+	MDNEJI_03413	-	-	-	-	-	-
contig_1018	cds	21483	22265	+	MDNEJI_03414	295.0	4.0e-99	0.962	0.977	0.568	UniRef:UniRef50_A0A376X8A0
contig_1018	cds	22319	22552	+	MDNEJI_03415	158.0	1.0e-50	1.0	0.846	0.987	UniRef:UniRef50_A6V477
contig_1018	cds	22751	23038	+	MDNEJI_03416	186.0	2.5e-61	1.0	1.0	1.0	UniRef:UniRef50_Q9I096
contig_1018	cds	23255	23344	+	MDNEJI_03417	-	-	-	-	-	-
contig_1018	cds	23363	23539	-	MDNEJI_03418	101.0	1.0e-28	1.017	1.0	0.966	UniRef:UniRef50_A0A080VJZ1
contig_1018	cds	23624	23950	-	MDNEJI_03419	204.0	4.8e-68	1.0	0.973	1.0	UniRef:UniRef50_Q9I097
contig_1018	cds	24142	25005	+	MDNEJI_03420	300.0	3.5e-100	0.944	0.874	0.565	UniRef:UniRef50_M4WUG8
contig_1018	cds	25255	27177	+	MDNEJI_03421	905.0	0.0	0.984	0.912	0.679	UniRef:UniRef50_Q7N3P6
contig_1018	cds	27195	27728	+	MDNEJI_03422	218.0	7.6e-71	0.932	0.805	0.655	UniRef:UniRef50_Q6F861
contig_1018	cds	27790	27984	+	MDNEJI_03423	86.7	1.1e-22	0.969	0.899	0.742	UniRef:UniRef50_A0A2D5U893
contig_1018	cds	28008	28364	+	MDNEJI_03424	155.0	5.6e-48	0.975	0.827	0.730	UniRef:UniRef50_Q2RNH9
contig_1018	cds	28462	29478	+	MDNEJI_03425	576.0	1.7e-206	1.0	0.828	0.831	UniRef:UniRef50_Q6ANC1
contig_1018	cds	29513	31891	+	MDNEJI_03426	946.0	0.0	1.010	1.0	0.606	UniRef:UniRef50_A0A2D5FKX6
contig_1018	cds	31895	32197	+	MDNEJI_03427	115.0	3.4e-33	1.0	0.935	0.630	UniRef:UniRef50_P95516
contig_1018	cds	32178	32534	+	MDNEJI_03428	153.0	2.6e-47	0.924	0.826	0.688	UniRef:UniRef50_A0A081NFP9
contig_1018	tRNA	32624	32700	+	MDNEJI_03429	67.3	-	-	-	-	-
contig_1018	cds	32876	34954	+	MDNEJI_03430	1140.0	0.0	1.0	0.933	0.814	UniRef:UniRef50_A0A011NCU9
contig_1018	cds	35332	36330	+	MDNEJI_03431	-	-	-	-	-	-
contig_1018	cds	36401	37897	+	MDNEJI_03432	644.0	3.9e-229	1.004	0.982	0.642	UniRef:UniRef50_A0A561E4H1
contig_1018	cds	37894	39417	+	MDNEJI_03433	660.0	1.8e-235	0.988	0.998	0.655	UniRef:UniRef50_A0A6P2B590
contig_1018	cds	39414	41318	+	MDNEJI_03434	712.0	6.7e-250	1.021	0.836	0.570	UniRef:UniRef50_A0A8T9AL31
contig_1018	cds	41441	42991	+	MDNEJI_03435	809.0	2.9e-292	0.996	0.838	0.804	UniRef:UniRef50_A0A1N7FS51
contig_1018	cds	42988	44139	+	MDNEJI_03436	323.0	2.1e-106	0.997	0.939	0.513	UniRef:UniRef50_A0A250KMK4
contig_1018	cds	44144	47137	+	MDNEJI_03437	1323.0	0.0	1.001	0.827	0.680	UniRef:UniRef50_A0A0C3MIZ6
contig_1019	cds	344	1195	+	MDNEJI_03438	422.0	1.2e-148	0.989	0.952	0.682	UniRef:UniRef50_A0A072ZRA8
contig_1019	cds	1204	2061	-	MDNEJI_03439	333.0	3.4e-113	0.972	0.911	0.610	UniRef:UniRef50_A0A973A7I3
contig_1019	cds	2248	3717	+	MDNEJI_03440	763.0	1.6e-275	1.153	0.998	0.691	UniRef:UniRef50_O68282
contig_1019	cds	3704	4420	+	MDNEJI_03441	251.0	2.5e-82	0.996	0.963	0.582	UniRef:UniRef50_A0A5E6VDK6
contig_1019	cds	4438	5100	+	MDNEJI_03442	265.0	2.9e-88	0.945	0.819	0.659	UniRef:UniRef50_P00885
contig_1019	cds	5190	5627	-	MDNEJI_03443	164.0	5.0e-51	0.924	0.832	0.597	UniRef:UniRef50_Q9HZ54
contig_1019	cds	5775	6935	+	MDNEJI_03444	-	-	-	-	-	-
contig_1019	cds	7028	7405	+	MDNEJI_03445	241.0	3.6e-82	0.984	0.976	0.943	UniRef:UniRef50_Q9HZ56
contig_1019	cds	7509	8432	-	MDNEJI_03446	314.0	2.7e-105	1.016	1.003	0.551	UniRef:UniRef50_A0A839T542
contig_1019	cds	8661	9875	-	MDNEJI_03447	419.0	1.7e-143	0.988	0.993	0.549	UniRef:UniRef50_A0A3N9U3K7
contig_1019	cds	9914	10849	-	MDNEJI_03448	331.0	8.1e-112	0.990	0.972	0.503	UniRef:UniRef50_H2FYR7
contig_1019	cds	10865	11593	-	MDNEJI_03449	321.0	5.8e-110	0.996	0.996	0.685	UniRef:UniRef50_A0A5E6TTT6
contig_1019	cds	11752	12492	-	MDNEJI_03450	344.0	2.8e-118	1.0	0.845	0.707	UniRef:UniRef50_A0A0C5E5Q6
contig_1019	cds	12557	13228	-	MDNEJI_03451	323.0	1.5e-111	0.937	0.917	0.742	UniRef:UniRef50_Q88M11
contig_1019	cds	13234	13932	-	MDNEJI_03452	343.0	3.0e-118	0.966	0.803	0.719	UniRef:UniRef50_Q885T9
contig_1019	cds	14083	15417	-	MDNEJI_03453	689.0	6.7e-248	0.984	0.883	0.757	UniRef:UniRef50_A0A5E6VET5
contig_1019	cds	15527	16603	+	MDNEJI_03454	580.0	3.1e-207	1.0	0.821	0.821	UniRef:UniRef50_Q4ZQ92
